Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_c.AVG_Signal	KHYG1_si308_c.Avg_NBEADS	KHYG1_si308_c.BEAD_STDERR	KHYG1_si308_c.Detection Pval
ILMN_1750294	99.0624	25	3.423543	0.3038961
ILMN_1708348	143.5106	25	3.904791	0
ILMN_1727524	107.4796	19	3.918911	0.04155844
ILMN_1716909	96.31151	20	2.447584	0.5350649
ILMN_2103107	94.31447	20	2.626057	0.6961039
ILMN_1673566	102.637	15	4.501604	0.1324675
ILMN_1751168	98.17889	18	3.300683	0.3662338
ILMN_1660970	94.36362	23	2.693179	0.6909091
ILMN_1787386	96.61169	18	3.035331	0.5116883
ILMN_2286570	93.0762	24	2.434746	0.7805195
ILMN_2413732	102.2765	20	3.17005	0.1441558
ILMN_1873412	97.95131	21	3.329063	0.3922078
ILMN_1676452	92.27827	24	2.191282	0.8376623
ILMN_2358134	95.35706	22	3.257733	0.612987
ILMN_1683781	96.30837	16	3.393832	0.5350649
ILMN_1726247	90.80477	29	1.74972	0.9116883
ILMN_1682989	100.6271	19	1.793655	0.2103896
ILMN_1739872	100.8725	26	2.761697	0.1987013
ILMN_1770152	94.32749	30	2.223963	0.6948052
ILMN_1656171	94.0374	23	3.118442	0.7142857
ILMN_1796628	104.1683	20	4.136954	0.08701298
ILMN_1811765	91.14442	18	2.688407	0.9051948
ILMN_1791795	97.20518	23	3.583891	0.448052
ILMN_1787908	97.81794	27	3.354659	0.4025974
ILMN_1651717	93.63876	19	3.800801	0.7402598
ILMN_1703803	92.15483	14	2.973014	0.8415585
ILMN_2092933	120.4243	19	6.520632	0
ILMN_1681886	88.49038	30	1.885154	0.9753247
ILMN_1767362	103.7701	17	2.830741	0.1012987
ILMN_3251322	93.79453	23	2.142497	0.7311688
ILMN_2211790	99.66209	27	3.476525	0.2649351
ILMN_1672403	100.8403	22	2.91761	0.2012987
ILMN_1805543	94.31783	24	2.594975	0.6948052
ILMN_1706992	99.02438	29	3.080839	0.3064935
ILMN_1684919	101.3293	20	4.445138	0.1831169
ILMN_1727084	101.4487	23	3.274351	0.1766234
ILMN_1705250	93.56897	18	3.369011	0.7415584
ILMN_1722621	92.87479	16	2.768957	0.7909091
ILMN_1721495	99.84164	16	2.782607	0.2532468
ILMN_1798690	100.1456	12	4.965369	0.2428571
ILMN_1687035	100.4891	19	3.126067	0.2220779
