Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_si308_b.AVG_Signal	KHYG1_si308_b.Avg_NBEADS	KHYG1_si308_b.BEAD_STDERR	KHYG1_si308_b.Detection Pval
ILMN_2351754	96.41544	30	2.475875	0.5168831
ILMN_2060086	93.0745	22	2.070278	0.8233766
ILMN_1664236	92.10001	22	2.486653	0.8805195
ILMN_1664631	102.0728	22	3.088915	0.1636364
ILMN_1802100	96.40871	19	2.207682	0.5181818
ILMN_2194158	117.3163	22	2.984651	0.002597403
ILMN_2100871	96.96849	26	2.242712	0.4805195
ILMN_1806841	99.2413	21	3.418214	0.3103896
ILMN_1798045	96.39056	21	2.948561	0.5207792
ILMN_2293012	93.13438	20	2.456463	0.8168831
ILMN_1703383	102.729	27	2.913284	0.1402597
ILMN_1651657	102.6778	29	2.619247	0.1402597
ILMN_1671297	97.94111	17	2.019864	0.412987
ILMN_1669486	93.60062	19	3.439994	0.774026
ILMN_1795204	91.50048	13	3.352168	0.8974026
ILMN_2223911	95.36833	18	3.180448	0.6103896
ILMN_1685531	93.08372	16	4.34757	0.8220779
ILMN_1764554	91.32998	22	2.102271	0.9012987
ILMN_2302214	97.60358	27	2.29387	0.4337662
ILMN_1783312	106.5104	26	4.181967	0.05064935
ILMN_2143210	100.1824	17	3.504519	0.2571429
ILMN_1750294	100.5165	23	2.783899	0.2428571
ILMN_1708348	142.7871	19	4.846492	0
ILMN_1727524	112.1786	24	3.760515	0.01038961
ILMN_1716909	91.76844	22	2.184146	0.8909091
ILMN_2103107	92.465	15	3.314796	0.8662338
ILMN_1673566	98.27966	15	3.557468	0.3805195
ILMN_1751168	104.5687	20	3.385237	0.08701298
ILMN_1660970	97.93509	13	3.805097	0.412987
ILMN_1787386	101.5631	22	4.975657	0.1844156
ILMN_2286570	89.40394	23	2.472296	0.9727273
ILMN_2413732	99.28529	23	2.879539	0.3103896
ILMN_1873412	99.19467	25	2.288229	0.312987
ILMN_1676452	98.04987	34	2.302644	0.4
ILMN_2358134	95.06631	27	2.854379	0.6337662
ILMN_1683781	105.7492	19	4.142904	0.05454545
ILMN_1726247	101.8954	14	3.93551	0.1753247
ILMN_1682989	101.3199	23	3.369932	0.1987013
ILMN_1739872	94.38152	20	2.063955	0.7038961
ILMN_1770152	94.05767	31	2.149378	0.7350649
ILMN_1656171	93.9982	25	2.856717	0.7402598
ILMN_1796628	106.7304	17	2.717619	0.04805195
ILMN_1811765	99.31742	25	3.402936	0.3103896
ILMN_1791795	93.27688	17	1.922245	0.8077922
ILMN_1787908	93.51008	26	2.822463	0.7857143
ILMN_1651717	98.88602	27	2.868528	0.3324675
ILMN_1703803	94.39772	21	2.352596	0.7012987
ILMN_2092933	123.9022	20	3.618359	0.001298701
ILMN_1681886	94.15903	29	2.400767	0.7246753
ILMN_1767362	97.69089	23	2.465216	0.4272727
ILMN_3251322	101.0123	34	2.46586	0.2142857
ILMN_2211790	97.79122	21	3.882007	0.4246753
ILMN_1672403	103.4775	12	3.602053	0.1181818
ILMN_1805543	95.8102	15	2.911965	0.5766234
ILMN_1706992	97.05416	24	2.100947	0.4714286
ILMN_1684919	97.35505	22	2.16486	0.4506494
ILMN_1727084	95.63797	30	2.365772	0.5896104
ILMN_1705250	95.55399	21	3.209361	0.5948052
ILMN_1722621	92.25902	19	1.98758	0.8779221
ILMN_1721495	93.86806	18	2.354801	0.7519481
ILMN_1798690	115.7479	18	3.977893	0.002597403
ILMN_1687035	104.4061	22	2.860595	0.08961039
