Illumina Inc. BeadStudio version 1.9.0.24624				
Normalization = none				
Array Content = HumanHT-12_V4_0_R2_15002873_B.bgx				
Error Model = Illumina custom				
DateTime = 02/24/2016 05:00 PM				
Local Settings = en-US				
				
PROBE_ID	KHYG1_ctrl_a.AVG_Signal	KHYG1_ctrl_a.Avg_NBEADS	KHYG1_ctrl_a.BEAD_STDERR	KHYG1_ctrl_a.Detection Pval
ILMN_1764554	92.66412	18	2.168587	0.7402598
ILMN_2302214	93.11663	16	3.13788	0.7025974
ILMN_1783312	95.76344	21	1.670505	0.4714286
ILMN_2143210	97.07268	18	2.200249	0.3584416
ILMN_1750294	104.366	23	3.016869	0.05584415
ILMN_1708348	146.3354	25	3.784921	0
ILMN_1727524	107.8304	21	2.970603	0.03116883
ILMN_1716909	94.86119	18	2.700271	0.5402597
ILMN_2103107	94.22087	26	2.679453	0.6
ILMN_1673566	91.11277	17	2.179555	0.851948
ILMN_1751168	89.67324	12	7.412379	0.9285714
ILMN_1660970	89.83021	24	2.078911	0.9246753
ILMN_1787386	92.83344	23	1.772712	0.7246753
ILMN_2286570	94.71171	20	2.433	0.5519481
ILMN_2413732	92.91326	8	3.620514	0.7194805
ILMN_1873412	96.50616	25	2.406469	0.4051948
ILMN_1676452	90.4516	19	3.560778	0.8922078
ILMN_2358134	93.37931	23	2.026405	0.6753247
ILMN_1683781	100.3825	19	2.370176	0.1649351
ILMN_1726247	93.8318	17	1.736241	0.638961
ILMN_1682989	106.6076	17	5.066039	0.03376623
ILMN_1739872	100.5018	15	4.483477	0.1571429
ILMN_1770152	87.1471	30	1.975646	0.9831169
ILMN_1656171	90.78439	17	2.223702	0.8701299
ILMN_1796628	99.22382	26	2.220425	0.2103896
ILMN_1811765	94.27611	20	2.954257	0.5961039
ILMN_1791795	96.08095	23	2.684761	0.4415585
ILMN_1787908	99.20029	27	2.521312	0.2116883
ILMN_1651717	92.98586	19	3.742384	0.7142857
ILMN_1703803	93.85017	22	3.526468	0.635065
ILMN_2092933	113.8156	13	4.4642	0.003896104
ILMN_1681886	98.61453	20	2.599951	0.2441558
ILMN_1767362	95.07668	19	3.390841	0.5272727
ILMN_3251322	99.12669	23	2.525274	0.2181818
ILMN_2211790	99.3173	17	4.636041	0.2038961
ILMN_1672403	102.9127	12	5.293795	0.07922078
ILMN_1805543	89.76212	20	3.149281	0.925974
ILMN_1706992	104.1849	14	3.908322	0.05584415
ILMN_1684919	98.65475	20	2.869882	0.2428571
ILMN_1727084	98.34512	32	2.313937	0.2584416
ILMN_1705250	94.14378	30	2.515798	0.6090909
ILMN_1722621	88.56928	24	2.284539	0.9571428
ILMN_1721495	94.42422	27	3.177045	0.5831169
